"","GENE","ORF","ID","Days","pVal","Value","Diff","Abundance","Description"
"1865","TRM12","YML005W",3501,"3 4 5 7 10 12 14",0.75391124663153,10.206,-0.198,NA,"S-adenosylmethionine-dependent methyltransferase; required for wybutosine formation in phenylalanine-accepting tRNA; member of the seven beta-strand family"
"1866",NA,"YGR121W-A",2507,"4 5 7 10 12 14",0.754045243431678,11.243,-0.148,2770,"Putative protein of unknown function"
"1868","PBP4","YDL053C",1654,"1 2 3 10 12 14",0.756065704484855,13.021,-0.091,688,"Pbp1p binding protein; interacts strongly with Pab1p-binding protein 1 (Pbp1p) in the yeast two-hybrid system; also interacts with Lsm12p in a copurification assay; relative distribution to the nucleus increases upon DNA replication stress"
"1869","ARP8","YOR141C",791,"3 4 12 14",0.756880218257261,10.158,-0.228,NA,"Nuclear actin-related protein involved in chromatin remodeling; component of chromatin-remodeling enzyme complexes; has mRNA binding activity"
"4648","GEP3","YOR205C",1129,"1 5 7 12",0.757158394685933,9.927,0.165,5480,"Protein required for mitochondrial ribosome small subunit biogenesis; null mutant is defective in respiration and in maturation of 15S rRNA; protein is localized to the mitochondrial inner membrane; null mutant interacts synthetically with prohibitin (Phb1p)"
"4649","ECM12","YHR021W-A",2098,"1 2 3 4 7 10 12 14",0.757347606058911,10.966,0.154,3060,"Putative protein of unknown function; may contribute to cell wall biosynthesis, mutants display zymolyase hypersensitivity"
"1870","VTI1","YMR197C",772,"3 4 5 10 12 14",0.757555506085772,10.136,-0.193,3670,"Protein involved in cis-Golgi membrane traffic; v-SNARE that interacts with two t-SNARES, Sed5p and Pep12p; required for multiple vacuolar sorting pathways"
"1871","SGF29","YCL010C",3000,"4 5 7",0.757592229619375,10.286,-0.171,NA,"Component of the HAT/Core module of the SAGA, SLIK, and ADA complexes; HAT/Core module also contains Gcn5p, Ngg1p, and Ada2p; binds methylated histone H3K4; involved in transcriptional regulation through SAGA and TBP recruitment to target promoters and H3 acetylation"
"1873","BDP1","YNL039W",487,"1 2 3 10 12 14",0.758143977021733,10.877,-0.153,NA,"Essential subunit of RNA polymerase III transcription factor (TFIIIB); TFIIIB is involved in transcription of genes encoding tRNAs, 5S rRNA, U6 snRNA, and other small RNAs"
"1875","IZH4","YOL101C",3116,"5 7 10 14",0.758299099993379,10.954,-0.152,NA,"Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; expression induced by fatty acids and altered zinc levels; deletion reduces sensitivity to excess zinc; possible role in sterol metabolism; protein increases in abundance and relocalizes from nucleus to ER upon DNA replication stress; IZH4 has a paralog, IZH1, that arose from the whole genome duplication"
"4652","TOM5","YPR133W-A",1569,"4 7 10 14",0.758510121090069,10.984,0.15,3530,"Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import of all mitochondrially directed proteins; involved in transfer of precursors from the Tom70p and Tom20p receptors to the Tom40p pore"
"4653","PRR1","YKL116C",548,"1 4 7 12 14",0.75887662801735,11.988,0.136,NA,"Serine/threonine protein kinase; inhibits pheromone induced signaling downstream of MAPK, possibly at the level of the Ste12p transcription factor"
"4654","YML6","YML025C",3172,"1 4 7 10 12 14",0.75887662801735,11.535,0.144,2550,"Mitochondrial ribosomal protein of the large subunit; has similarity to E. coli L4 ribosomal protein and human mitoribosomal MRP-L4 protein; essential for viability, unlike most other mitoribosomal proteins"
"4655","AGE2","YIL044C",880,"1 5 7 12 14",0.758981853764278,10.53,0.186,NA,"ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector; involved in Trans-Golgi-Network (TGN) transport; contains C2C2H2 cysteine/histidine motif"
"1877","SPI1","YER150W",2008,"1 2 3 10 12 14",0.759941423992267,10.963,-0.142,NA,"GPI-anchored cell wall protein involved in weak acid resistance; basal expression requires Msn2p/Msn4p; expression is induced under conditions of stress and during the diauxic shift; SPI1 has a paralog, SED1, that arose from the whole genome duplication"
"4658","LSB1","YGR136W",377,"5 10 12 14",0.760502618209205,10.785,0.149,1600,"Negative regulator of actin nucleation-promoting factor activity; interacts with Las17p, a homolog of human Wiskott-Aldrich Syndrome protein (WASP), via an N-terminal SH3 domain, and along with PIN3 cooperatively inhibits the nucleation of actin filaments; overexpression blocks receptor-mediated endocytosis; protein increases in abundance and forms nuclear foci in response to DNA replication stress; LSB1 has a paralog, PIN3, that arose from the whole genome duplication"
"1879","SHY1","YGR112W",2118,"4 7 10 12 14",0.760502618209205,11.36,-0.121,1150,"Mitochondrial inner membrane protein required for complex IV assembly; associates with complex IV assembly intermediates and complex III/complex IV supercomplexes; similar to human SURF1 involved in Leigh Syndrome; complex IV is also known as cytochrome c oxidase"
"4659","SGF11","YPL047W",1230,"3 4 5 7 10 12",0.760707065161465,11.32,0.15,13500,"Integral subunit of SAGA histone acetyltransferase complex; regulates transcription of a subset of SAGA-regulated genes, required for the Ubp8p association with SAGA and for H2B deubiquitylation"
"1880","AVL9","YLR114C",2854,"1 3 4 7 12 14",0.761044581430063,11.303,-0.156,846,"Conserved protein involved in exocytic transport from the Golgi; mutation is synthetically lethal with apl2 vps1 double mutation; member of a protein superfamily with orthologs in diverse organisms; relocalizes from bud neck to cytoplasm upon DNA replication stress"
"4660","PCL5","YHR071W",1412,"3 4 7 12 14",0.761936384644259,11,0.149,952,"Cyclin; interacts with and phosphorylated by Pho85p cyclin-dependent kinase (Cdk), induced by Gcn4p at level of transcription, specifically required for Gcn4p degradation, may be sensor of cellular protein biosynthetic capacity"
"1881","LRG1","YDL240W",881,"1 2 3 5 7 12 14",0.761936384644259,11.084,-0.155,178,"GTPase-activating protein (GAP); contains Rho1p-specific GAP activity, interacting with activated forms of Rho1p; functions along with Sac7p as a negative regulator of the Pkc1p-mediated cell wall integrity signaling pathway; negative regulator of cell wall 1,3-beta-glucan biosynthesis; required for efficient cell fusion; contains a RhoGAP domain and three Lin-11-Isl1-Mec-3 (LIM) domains"
"1883","FRM2","YCL026C-A",3394,"2 3 4 7 10 12 14",0.762305061216021,11.538,-0.129,6280,"Type II nitroreductase, using NADH as reductant; mutants are defective in fatty acid mediated repression of genes involved in fatty acid biosynthesis indicative of a role in lipid signaling; involved in the oxidative stress response; transcription induction by cadmium and selenite indicates a possible role in the metal stress response; expression induced in cells treated with the mycotoxin patulin"
"4661","MER1","YNL210W",214,"1 2 3 4 5 7",0.762344623109459,10.18,0.187,8350,"mRNA-binding protein required for meiosis-specific mRNA splicing; required for chromosome pairing and meiotic recombination; Mer1p regulon embraces four essential meiotic pre-mRNAs: REC107, HFM1, AMA1 and SPO22"
"1884","NPP1","YCR026C",2329,"3 4 5 7 10 12 14",0.763196440950498,10.849,-0.172,NA,"Nucleotide pyrophosphatase/phosphodiesterase; mediates extracellular nucleotide phosphate hydrolysis along with Npp2p and Pho5p; activity and expression enhanced during conditions of phosphate starvation; involved in spore wall assembly; NPP1 has a paralog, NPP2, that arose from the whole genome duplication, and an npp1 npp2 double mutant exhibits reduced dityrosine fluorescence relative to the single mutants"
"4669","RNQ1","YCL028W",1444,"4 5 7 10 14",0.768988149914863,11.048,0.155,125,"[PIN(+)] prion; an infectious protein conformation that is generally an ordered protein aggregate"
"4672","KNS1","YLL019C",1356,"4 5 7 10 12 14",0.769284221472102,10.088,0.149,2140,"Protein kinase involved in negative regulation of PolIII transcription; effector kinase of the TOR signaling pathway and phosphorylates Rpc53p to regulate ribosome and tRNA biosynthesis; member of the LAMMER family of protein kinases, which are serine/threonine kinases also capable of phosphorylating tyrosine residues; capable of autophosphorylation"
"1899","YIP5","YGL161C",1337,"3 4 5 7 10 12 14",0.770575552112626,8.89,-0.152,1040,"Protein that interacts with Rab GTPases; localized to late Golgi vesicles; computational analysis of large-scale protein-protein interaction data suggests a possible role in vesicle-mediated transport"
"4676","RPS0A","YGR214W",3191,"1 2 3 4 5 10 12 14",0.772462579756548,10.615,0.182,377,"Ribosomal 40S subunit protein S0A; required for maturation of 18S rRNA along with Rps0Bp; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal; homologous to human ribosomal protein SA and bacterial S2; RPS0A has a paralog, RPS0B, that arose from the whole genome duplication;"
"1902",NA,"YLR046C",3370,"2 5 7",0.772462579756548,11.4,-0.153,NA,"Putative membrane protein; member of the fungal lipid-translocating exporter (LTE) family of proteins; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; YLR046C has a paralog, RTA1, that arose from the whole genome duplication"
"1903","CUS2","YNL286W",1977,"1 2 3 4 5 12",0.772537499117939,10.477,-0.174,3440,"Putative checkpoint factor in transcription; binds to U2 snRNA and Prp11p; may be involved in U2 snRNA folding; contains two RNA recognition motifs (RRMs)"
"1904","ACP1","YKL192C",2815,"3 5 7 14",0.774449160788093,10.871,-0.207,NA,"Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p"
"4678",NA,"YBR139W",2020,"2 3 4 7 10 12 14",0.776011779988473,11.064,0.143,NA,"Putative serine type carboxypeptidase; role in phytochelatin synthesis; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; expression induced by nitrogen limitation in a GLN3, GAT1-independent manner"
"1907","NIT1","YIL164C",716,"1 2 3",0.777511506275967,10.195,-0.207,1810,"Nitrilase; member of the nitrilase branch of the nitrilase superfamily; in closely related species and other S. cerevisiae strain backgrounds YIL164C and adjacent ORF, YIL165C, likely constitute a single ORF encoding a nitrilase gene"
"4680","ECM22","YLR228C",3419,"3 5 7 14",0.778581930724018,11.337,0.128,3360,"Sterol regulatory element binding protein; regulates transcription of sterol biosynthetic genes; contains Zn[2]-Cys[6] binuclear cluster; relocates from intracellular membranes to perinuclear foci on sterol depletion; ECM22 has a paralog, UPC2, that arose from the whole genome duplication"
"4681","SHP1","YBL058W",83,"5 12 14",0.778841590331622,10.274,0.139,103000,"UBX (ubiquitin regulatory X) domain-containing protein; regulates Glc7p phosphatase activity; shp1 mutants are impaired in growth and mitotic progression; functions in growth and mitotic progression require Cdc48p binding; mitotic phenotype is caused by reduced Glc7p activity; interacts with ubiquitylated proteins, required for degradation of a ubiquitylated model substrate"
"4683","MET8","YBR213W",2811,"1 2 5 10 12 14",0.781756966001826,14.731,0.052,NA,"Bifunctional dehydrogenase and ferrochelatase; involved in the biosynthesis of siroheme, a prosthetic group used by sulfite reductase; required for sulfate assimilation and methionine biosynthesis"
"4688","KTR3","YBR205W",213,"2 3 4 5 10 12",0.785649542903385,10.862,0.129,7180,"Putative alpha-1,2-mannosyltransferase; involved in O- and N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; Svp26p mediates uptake of Ktr3p into COPII vesicles; relocalizes from nucleus to vacuole upon DNA replication stress"
"1916","ARP10","YDR106W",239,"1 3 4 5 12",0.785859168005807,10.348,-0.175,NA,"Component of the dynactin complex; localized to the pointed end of the Arp1p filament; may regulate membrane association of the complex"
"1917","DAL4","YIR028W",454,"1 2 3 10 12 14",0.786150133957195,10.741,-0.15,3030,"Allantoin permease; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation"
"4689","PPA2","YMR267W",2755,"2 3 5 7 10 12 14",0.786159146386344,9.365,0.107,2840,"Mitochondrial inorganic pyrophosphatase; required for mitochondrial function and possibly involved in energy generation from inorganic pyrophosphate"
"4692","GBP2","YCL011C",187,"3 4 5 10 12 14",0.787241656936511,11.993,0.123,NA,"Poly(A+) RNA-binding protein; key surveillance factor for the selective export of spliced mRNAs from the nucleus to the cytoplasm; preference for intron-containing genes; similar to Npl3p; also binds single-stranded telomeric repeat sequence in vitro; relocalizes to the cytosol in response to hypoxia; GBP2 has a paralog, HRB1, that arose from the whole genome duplication"
"4693",NA,"YCR023C",2307,"1 2 4 5 7",0.787332349374714,9.781,0.331,NA,"Vacuolar membrane protein of unknown function; member of the multidrug resistance family; YCR023C is not an essential gene"
"4696","JEN1","YKL217W",1284,"1 2 3 5 10 12",0.787807447908096,10.671,0.144,2810,"Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose"
"1920","RHO5","YNL180C",79,"4 7 10 12",0.788072741069182,10.152,-0.128,28800,"Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; RAC1 ortholog; regulated by phosphorylation and ubiquitination; likely involved in protein kinase C (Pkc1p)-dependent signal transduction pathway that controls cell integrity"
